Plan,Goal_rus,Instruction_rus,Goal_eng,Instruction_eng
Кубик с пола,,,,
"Find(‘Cube’), MoveTo(‘Cube’), PickUpFloor(‘Cube’), MoveTo(‘Drawer’), PutInDrawer(‘Cube’), Done",Положи кубик в ящик.,Сначала найди кубик. Подними его с пола и положи в тумбочку. Готово.,Put the cube in the drawer.,First find the cube. Pick it up from the floor and put it in the nightstand. Done.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpFloor(‘Cube’), MoveTo(‘Box’), PutInBox(‘Cube’’), Done",Убери кубик в коробку.,Доедь до кубика. Возьми его. Потом опусти кубик в коробку.,Put the cube in the box.,Get to the cube. Take it. Then put the cube in the box.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpFloor(‘Cube’), MoveTo(‘WhiteBox’), PutInBox(‘Cube’), Done",Выбрось кубик в белую коробку.,Найди кубик на полу. Подхвати кубик. Найди белую коробку и выбрось в неё кубик.,Throw the cube into the white box.,Find the cube on the floor. Pick up the cube. Find a white box and throw a cube into it.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpFloor(‘Cube’), MoveTo(‘Table’), PutOnTable(‘Cube’), Done",Положи кубик с пола на стол.,Найди где лежит кубик. Возьми его в руку. Довези кубик до стола. Положи его на стол.,Put the cube from the floor on the table.,Find where the cube is. Take it in your hand. Take the cube to the table. Put it on the table.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpFloor(‘Cube’), MoveTo(‘Chair’), PutOnChair(‘Cube’), Done",Убери кубик с пола и положи его на стул.,Доедь до куба. Захвати его. Довези кубик до стула. Положи его на стул. Дело сделано.,Take the cube off the floor and put it on a chair.,Get to the cube. Grab him. Take the cube to the chair. Put it on a chair. It's done.
Кубик со стола,,,,
"Find(‘Cube’), MoveTo(‘Cube’), PickUpTable(‘Cube’), MoveTo(‘Drawer’), PutInDrawer(‘Cube’), Done",Переложи кубик со стола в ящик.,Найди кубик на столе. Возьми его. Найди где стоит тумбочка и подъедь к ней. Положи кубик в ящик тумбочки. Теперь всё.,Move the cube from the table to the drawer.,Find the cube on the table. Take it. Find where the bedside table is and drive up to it. Put the cube in the drawer of the nightstand. That's it now.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpTable(‘Cube’), MoveTo(‘Box’), PutInBox(‘Cube’’), Done",Убери кубик со стола в коробку.,Доедь до кубика. Возьми его со стола. Доедь до коробки. Опусти кубик в коробку.,Remove the cube from the table into the box.,Get to the cube. Take it from the table. Get to the box. Put the cube in the box.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpTable(‘Cube’), MoveTo(‘WhiteBox’), PutInBox(‘Cube’), Done",Сложи кубик в белую коробку.,Найди кубик. Возьми его. Доедь до белой коробки. Положи кубик именно в белую коробку. Ты справился.,Put the cube in a white box.,Find the cube. Take it. Get to the white box. Put the cube exactly in the white box. You did it.
